ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER,OUTPUT,SIZE,PDI
62CM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,2.5,3.5,MQ,1,SMALL,0.067
63CM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,1.375,1.0,MQ,1,MEDIUM,0.043
64CM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,2.5,1.0,MQ,1,MEDIUM,0.063
65CM,ESM,Micromixer,20.0,12.0,0.0,8.0,0.0,1.375,3.5,MQ,1,SMALL,0.054
66CM,ESM,Micromixer,20.0,12.0,0.0,8.0,0.0,2.5,3.5,MQ,1,SMALL,0.066
67CM,ESM,Micromixer,20.0,12.0,0.0,8.0,0.0,1.375,1.0,MQ,1,MEDIUM,0.029
68CM,ESM,Micromixer,20.0,12.0,0.0,8.0,0.0,2.5,1.0,MQ,1,MEDIUM,0.045
01OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.58,1.6,MQ,1,MEDIUM,0.263
02OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.6,MQ,1,SMALL,0.168
03OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.58,4.4,MQ,1,SMALL,0.219
04OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,4.4,MQ,1,SMALL,0.242
05OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.25,3.0,MQ,1,MEDIUM,0.334
06OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.5,3.0,MQ,1,SMALL,0.23
07OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,1.0,MQ,1,MEDIUM,0.421
08OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,4.4,MQ,1,SMALL,0.241
09OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.231
10OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.212
11OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.228
12OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.229
13OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.223
14OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.58,1.6,MQ,1,MEDIUM,0.334
15OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.6,MQ,1,MEDIUM,0.152
16OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.58,4.4,MQ,1,MEDIUM,0.306
17OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,4.4,MQ,1,SMALL,0.243
18OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.25,3.0,MQ,1,MEDIUM,0.356
19OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.5,3.0,MQ,1,SMALL,0.27
20OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,1.0,MQ,1,MEDIUM,0.4
21OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,4.4,MQ,1,SMALL,0.261
22OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.248
23OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.251
24OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.262
25OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.233
26OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.257
27OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.58,1.6,MQ,1,MEDIUM,0.307
28OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.6,MQ,1,MEDIUM,0.174
29OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.58,4.4,MQ,1,MEDIUM,0.262
30OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,4.4,MQ,1,SMALL,0.246
